time,priceUsd,date
1665792000,19148.97801333452,2022-10-15
1665878400,19175.052449126328,2022-10-16
1665964800,19402.78034953924,2022-10-17
1666051200,19480.935567566143,2022-10-18
1666137600,19224.3127923764,2022-10-19
1666224000,19131.398716354393,2022-10-20
1666310400,19074.17742293648,2022-10-21
1666396800,19185.009226451617,2022-10-22
1666483200,19273.66247377424,2022-10-23
1666569600,19360.584293046588,2022-10-24
1666656000,19598.030929591157,2022-10-25
1666742400,20531.36799269518,2022-10-26
1666828800,20601.640975948605,2022-10-27
1666915200,20359.404279688035,2022-10-28
1667001600,20741.929992969417,2022-10-29
1667088000,20672.23408793437,2022-10-30
1667174400,20456.559628559236,2022-10-31
1667260800,20472.185428180313,2022-11-01
1667347200,20399.61555616461,2022-11-02
1667433600,20250.159180354836,2022-11-03
1667520000,20694.64332905644,2022-11-04
1667606400,21330.981908743703,2022-11-05
1667692800,21188.71875509021,2022-11-06
1667779200,20769.049413464556,2022-11-07
1667865600,19582.684765158014,2022-11-08
1667952000,17538.344942455806,2022-11-09
1668038400,16934.428755241188,2022-11-10
1668124800,17098.76053279063,2022-11-11
1668211200,16842.594555656357,2022-11-12
1668297600,16640.78494125213,2022-11-13
1668384000,16453.42172442446,2022-11-14
1668470400,16828.16726869121,2022-11-15
1668556800,16703.81714096854,2022-11-16
1668643200,16620.215331940864,2022-11-17
1668729600,16751.874729314517,2022-11-18
1668816000,16665.551142870063,2022-11-19
1668902400,16614.290259311972,2022-11-20
1668988800,16048.317756723609,2022-11-21
1669075200,15958.382013099688,2022-11-22
1669161600,16485.918790452295,2022-11-23
1669248000,16622.189490481225,2022-11-24
1669334400,16521.73359214611,2022-11-25
1669420800,16595.863447760148,2022-11-26
1669507200,16583.270641939995,2022-11-27
1669593600,16244.453480424954,2022-11-28
1669680000,16426.688577204244,2022-11-29
1669766400,16908.155431754793,2022-11-30
1669852800,17068.755895850874,2022-12-01
1669939200,16979.285715468144,2022-12-02
1670025600,16988.909001847842,2022-12-03
1670112000,17035.092533986513,2022-12-04
1670198400,17183.749281060173,2022-12-05
1670284800,17003.04852729687,2022-12-06
1670371200,16889.11517793916,2022-12-07
1670457600,16937.949911653468,2022-12-08
1670544000,17193.973762126014,2022-12-09
1670630400,17170.095814119697,2022-12-10
1670716800,17171.498056197244,2022-12-11
1670803200,17006.773299187294,2022-12-12
1670889600,17469.779597167893,2022-12-13
1670976000,17874.328804425815,2022-12-14
1671062400,17584.989253418316,2022-12-15
1671148800,17100.95814650202,2022-12-16
1671235200,16712.734531577174,2022-12-17
1671321600,16741.16809329845,2022-12-18
1671408000,16678.6984115228,2022-12-19
1671494400,16791.040909313837,2022-12-20
1671580800,16829.32548166475,2022-12-21
1671667200,16778.52036642307,2022-12-22
1671753600,16832.061901037785,2022-12-23
1671840000,16847.334009299357,2022-12-24
1671926400,16830.18808553798,2022-12-25
1672012800,16844.34984265105,2022-12-26
1672099200,16797.282071182173,2022-12-27
1672185600,16629.73298086975,2022-12-28
1672272000,16585.872381248693,2022-12-29
1672358400,16545.34409121533,2022-12-30
1672444800,16570.269678970755,2022-12-31
1672617600,16708.523561902934,2023-01-02
1672704000,16682.70650379706,2023-01-03
1672790400,16822.19136893977,2023-01-04
1672876800,16826.733535630374,2023-01-05
1672963200,16821.14068343817,2023-01-06
1673049600,16940.3135199784,2023-01-07
1673136000,16946.459618821,2023-01-08
1673222400,17235.638725216988,2023-01-09
1673308800,17290.616640763834,2023-01-10
1673395200,17450.38119023719,2023-01-11
1673481600,18387.805726865925,2023-01-12
1673568000,19078.054215074968,2023-01-13
1673654400,20822.4369410666,2023-01-14
